Process,ActUnit,CapUnit
UPSNGA01,PJ,PJ_a
UPSNGA00,PJ,PJ_a
UPSLFO01,PJ,PJ_a
UPSLFO00,PJ,PJ_a
UPSHYG01,PJ,PJ_a
UPSELC01,PJ,PJ_a
UPSELC00,PJ,PJ_a
UOILTERM01,PJ,PJ_a
UOILTERM00,PJ,PJ_a
UNGAPTR01,PJ,PJ_a
UNGAPTR00,PJ,PJ_a
UNGAIN00,PJ,PJ_a
UNGAIE00,PJ,PJ_a
UNGAEI00,PJ,PJ_a
UNGAEE00,PJ,PJ_a
UNGAD00,PJ,PJ_a
UMAINPHYG01,PJ,PJ_a
ULNGT01,PJ,PJ_a
ULNGT00,PJ,PJ_a
UCHP-CCG01,PJ,GW
UCHP-CCG00,PJ,GW
TWPET01,Bv-km,000V
TWPET00,Bv-km,000V
TWFCHYG01,Bv-km,000V
TWELC01,Bv-km,000V
TSIOIL01,PJ,PJ_a
TSIOIL00,PJ,PJ_a
TSIHYG01,PJ,PJ_a
TSDOIL01,Btkm,Btkm_a
TSDOIL00,Btkm,Btkm_a
TSDHYG01,Btkm,Btkm_a
TRTELC01,Bpkm,Bpkm_a
TRFCHYG01,Bpkm,Bpkm_a
TRELC01,Bpkm,Bpkm_a
TRELC00,Bpkm,Bpkm_a
TRDST01,Bpkm,Bpkm_a
TRDST00,Bpkm,Bpkm_a
TRCOA00,Bpkm,Bpkm_a
TRAPET01,PJ,PJ_a
TRAPET00,PJ,PJ_a
TRANGA01,PJ,PJ_a
TRALPG01,PJ,PJ_a
TRALPG00,PJ,PJ_a
TRALFODS01,PJ,PJ_a
TRALFODS00,PJ,PJ_a
TRALFO01,PJ,PJ_a
TRALFO00,PJ,PJ_a
TRAJETIA01,PJ,PJ_a
TRAJETIA00,PJ,PJ_a
TRAJETDA01,PJ,PJ_a
TRAJETDA00,PJ,PJ_a
TRAHYLIA01,PJ,PJ_a
TRAHYLDA01,PJ,PJ_a
TRAHYL01,PJ,PJ_a
TRAHYGPIS01,PJ,PJ_a
TRAHYGPDS01,PJ,PJ_a
TRAHYGP01,PJ,PJ_a
TRAHFOIS01,PJ,PJ_a
TRAHFOIS00,PJ,PJ_a
TRAHFODS01,PJ,PJ_a
TRAHFODS00,PJ,PJ_a
TRAETH01,PJ,PJ_a
TRAETH00,PJ,PJ_a
TRAELC01,PJ,PJ_a
TRAELC00,PJ,PJ_a
TRADST01,PJ,PJ_a
TRADST00,PJ,PJ_a
TRACOA00,PJ,PJ_a
TRABOM01,PJ,PJ_a
TRABIOOILIS01,PJ,PJ_a
TRABIOLFODS01,PJ,PJ_a
TRABIOLFO01,PJ,PJ_a
TRABIOJET-FTIA01,PJ,PJ_a
TRABIOJET-FTDA01,PJ,PJ_a
TRABIODST-FT01,PJ,PJ_a
TRABIODST01,PJ,PJ_a
TRABIODST00,PJ,PJ_a
TMAINPGAS01,PJ,PJ_a
TLPHBPET01,Bv-km,000V
TLPHBDST01,Bv-km,000V
TLPET01,Bv-km,000V
TLPET00,Bv-km,000V
TLLPG01,Bv-km,000V
TLHBPET01,Bv-km,000V
TLHBHYL01,Bv-km,000V
TLHBDST01,Bv-km,000V
TLFCHYG01,Bv-km,000V
TLFCHBHYG01,Bv-km,000V
TLELC01,Bv-km,000V
TLE8501,Bv-km,000V
TLDST01,Bv-km,000V
TLDST00,Bv-km,000V
TLCNG01,Bv-km,000V
THYGNGAS01,PJ,PJ_a
THYGEYSS01,PJ,PJ_a
THHBDST01,Bv-km,000V
THFCHBHYG01,Bv-km,000V
THDST01,Bv-km,000V
THDST00,Bv-km,000V
THCNG01,Bv-km,000V
TFTELC01,Btkm,Btkm_a
TFSSPET01,PJ,PJ_a
TFSSPET00,PJ,PJ_a
TFSSLPG01,PJ,PJ_a
TFSSLPG00,PJ,PJ_a
TFSSHYL01,PJ,PJ_a
TFSSHYGS01,PJ,PJ_a
TFSSHYGL01,PJ,PJ_a
TFSSHYG01,PJ,PJ_a
TFSSETH01,PJ,PJ_a
TFSSETH00,PJ,PJ_a
TFSSDST01,PJ,PJ_a
TFSSDST00,PJ,PJ_a
TFSSCPHB01,PJ,PJ_a
TFSSCNG01,PJ,PJ_a
TFSSCELC01,PJ,PJ_a
TFSSBIODST-FT01,PJ,PJ_a
TFSSBIODST01,PJ,PJ_a
TFSSBIODST00,PJ,PJ_a
TFSLPET01,PJ,PJ_a
TFSLPET00,PJ,PJ_a
TFSLLPG01,PJ,PJ_a
TFSLLPG00,PJ,PJ_a
TFSLLFODS01,PJ,PJ_a
TFSLLFODS00,PJ,PJ_a
TFSLLFO01,PJ,PJ_a
TFSLLFO00,PJ,PJ_a
TFSLJETIAN01,PJ,PJ_a
TFSLJETIAN00,PJ,PJ_a
TFSLJETIAE01,PJ,PJ_a
TFSLJETIAE00,PJ,PJ_a
TFSLJETDAN01,PJ,PJ_a
TFSLJETDAN00,PJ,PJ_a
TFSLJETDAE01,PJ,PJ_a
TFSLJETDAE00,PJ,PJ_a
TFSLHYLIA01,PJ,PJ_a
TFSLHYLDA01,PJ,PJ_a
TFSLHYL01,PJ,PJ_a
TFSLHYGL01,PJ,PJ_a
TFSLHYGIS01,PJ,PJ_a
TFSLHYGDS01,PJ,PJ_a
TFSLHYG01,PJ,PJ_a
TFSLHFOIS01,PJ,PJ_a
TFSLHFOIS00,PJ,PJ_a
TFSLHFODS01,PJ,PJ_a
TFSLHFODS00,PJ,PJ_a
TFSLETH01,PJ,PJ_a
TFSLETH00,PJ,PJ_a
TFSLDST01,PJ,PJ_a
TFSLDST00,PJ,PJ_a
TFSLCNG01,PJ,PJ_a
TFSLBIOOILIS01,PJ,PJ_a
TFSLBIOLFODS01,PJ,PJ_a
TFSLBIOLFO01,PJ,PJ_a
TFSLBIOJET-FTIA01,PJ,PJ_a
TFSLBIOJET-FTDA01,PJ,PJ_a
TFSLBIODST-FT01,PJ,PJ_a
TFSLBIODST01,PJ,PJ_a
TFSLBIODST00,PJ,PJ_a
TFFCHYG01,Btkm,Btkm_a
TFELC01,Btkm,Btkm_a
TFELC00,Btkm,Btkm_a
TFDST01,Btkm,Btkm_a
TFDST00,Btkm,Btkm_a
TDISTELC01,GW,PJ_a
TDISTELC00,GW,PJ_a
TCPHBPET01,Bv-km,000V
TCPHBDST01,Bv-km,000V
TCPET01,Bv-km,000V
TCPET00,Bv-km,000V
TCLPG01,Bv-km,000V
TCLPG00,Bv-km,000V
TCHBPET01,Bv-km,000V
TCHBPET00,Bv-km,000V
TCHBHYL01,Bv-km,000V
TCHBDST01,Bv-km,000V
TCFCPHBHYG01,Bv-km,000V
TCFCHYG01,Bv-km,000V
