Process	Sector
EWND.*	Low carbon
EWAV.*	Low carbon
ETI.*	Low carbon
ESTW.*	Low carbon
ESTG.*	Other
ESOL.*	Low carbon
EPOL.*	Low carbon
EOIL.*	High carbon
ENUC.*	Low carbon
ENGA.*	High carbon
EMSW.*	Low carbon
EMAN.*	Other
EHYG.*	Other
EHYD.*	Low carbon
EHFO.*	High carbon
EGE.*	Low carbon
ECOA.*	High carbon
ECAE.*	Other
EBOG.*	Low carbon
EBIO.*	Low carbon
ELCIE*	Other
I.*BIO.*	Low carbon
I.*HFO.*	High carbon
I.*LPG.*	High carbon
I.*NGA.*	High carbon
I.*COA.*	High carbon
ICHCHPPRO.*	Other
I.*LFO.*	High carbon
IISCHPBFG.*	Other
I.*.COG.*	Other
I.*WST.*	Other
I.*CCGT.*	High carbon
I.*.CCP.*	High carbon
.CHP-CCG.*	High carbon
.CHP-STW.*	Low carbon
P.*.CCP.*	High carbon
.CHP-GES.*	Low carbon
.CHP-CCG.*	High carbon
.CHP-CCP.*	High carbon
